Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
EMP00001,HR,28,81624,24,47,90.4,Yes
EMP00002,Finance,29,92648,22,64,100.0,Yes
EMP00003,HR,48,104764,1,35,41.8,No
EMP00004,HR,53,121456,18,42,82.6,Yes
EMP00005,Engineering,35,122212,19,47,79.4,Yes
EMP00006,Operations,48,111655,9,39,61.6,No
EMP00007,Finance,27,99163,13,36,68.0,No
EMP00008,Sales,59,133371,2,59,54.0,No
EMP00009,Finance,45,120850,18,48,91.2,Yes
EMP00010,Finance,33,104082,2,44,44.0,No
EMP00011,Finance,35,111857,13,47,83.6,Yes
EMP00012,IT,44,129665,12,52,72.8,No
EMP00013,IT,25,105354,18,45,85.4,Yes
EMP00014,Sales,45,106196,21,65,98.8,Yes
EMP00015,Marketing,24,91945,2,50,53.6,No
EMP00016,Marketing,25,86967,19,50,96.2,Yes
EMP00017,Customer Support,52,102081,21,59,93.2,Yes
EMP00018,Marketing,29,102461,24,65,100.0,Yes
EMP00019,Customer Support,58,116461,19,55,86.2,Yes
EMP00020,Admin,29,73343,16,35,64.8,No
EMP00021,IT,30,125543,22,57,87.8,Yes
EMP00022,Customer Support,45,106338,20,59,91.4,Yes
EMP00023,HR,56,124795,22,37,81.8,Yes
EMP00024,Finance,42,110582,10,57,78.2,Yes
EMP00025,Sales,21,86835,17,41,70.2,No
EMP00026,Admin,40,90008,20,42,84.2,Yes
EMP00027,Admin,31,74218,25,63,100.0,Yes
EMP00028,Engineering,41,141094,1,37,45.0,No
EMP00029,HR,36,86006,8,35,62.4,No
EMP00030,Admin,25,71207,25,38,94.8,Yes
EMP00031,IT,56,157076,9,63,79.0,Yes
EMP00032,Admin,34,88014,25,42,94.2,Yes
EMP00033,Engineering,44,136765,17,58,84.4,Yes
EMP00034,Finance,35,116277,11,31,67.4,No
EMP00035,Marketing,35,93929,1,34,41.2,No
EMP00036,HR,25,86847,11,34,59.2,No
EMP00037,Engineering,38,129935,7,64,81.0,No
EMP00038,Engineering,57,161738,8,60,68.4,No
EMP00039,Finance,27,99009,22,57,98.8,Yes
EMP00040,Engineering,47,139624,24,33,76.0,Yes
EMP00041,Operations,46,108478,4,45,52.2,No
EMP00042,Engineering,55,152012,5,57,63.2,No
